INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jepywf', '女', '0000000000', 'zy', '08012004', '04-07-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jbpuny', NULL, '0000000001', 'zy', '08012013', '07-27-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ceimqbl', '女', '0000000002', 'jd', '08012000', '12-07-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tmfxauc', '男', '0000000003', 'gl', '08012018', '10-04-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Laruaad', '女', '0000000004', 'jd', '08012007', '04-22-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wndew', '女', '0000000005', 'jd', '08012014', '10-20-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yynhu', '女', '0000000006', 'gl', '08012001', '01-12-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Edop', '男', '0000000007', 'zd', '08012018', '11-18-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zbwa', '男', '0000000008', 'yh', '08012009', '07-28-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nswizuuh', '女', '0000000009', 'js', '08012019', '09-29-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Eneo', '女', '0000000010', 'jx', '08012003', '12-05-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zpmsmddl', '女', '0000000011', 'zd', '08012014', '04-26-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kyvwnfqm', '女', '0000000012', 'jd', '08012000', '02-07-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fqqnqpkj', '男', '0000000013', 'jd', '08012003', '12-29-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gvxunqax', '男', '0000000014', 'jx', '08012013', '12-31-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wzybvv', '男', '0000000015', 'jd', '08012017', '11-21-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Unmnigsy', '女', '0000000016', 'zd', '08012015', '10-28-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jdtdaj', NULL, '0000000017', 'js', '08012000', '05-06-1999');
